Date,A,B,C,D,E,F,G,H,Mkt_RF,SMB,HML,RF,WML
2010-04-01,0.03070069,0.0031,0,0.021081299,0.007376584,0.035215224,-0.014,0.014226385,0.0048,0.0382,0.0082,0.0001,0.0177
2010-05-01,-0.043917341,-0.0408,-0.097963143,-0.092363924,-0.044217048,0.003289808,-0.115618661,-0.08651333,-0.0954,0.0012,-0.0249,0.0001,-0.0073
2010-06-01,-0.017235594,-0.0079,-0.027956989,-0.047235525,0.024260878,0.014197823,0.001146789,-0.038340486,-0.0315,0.0033,-0.0269,0.0001,-0.0089
2010-07-01,0.013859186,0.0185,0.088495575,0.084304318,0.031933257,0.03269782,0.098510882,0.071804027,0.0821,-0.0157,0.0129,0.0001,0.0029
2010-08-01,-0.008623926,-0.0153,-0.046747967,-0.048672566,-0.028807732,0.050221089,-0.02919708,-0.047746831,-0.039,-0.0024,-0.0192,0.0001,0.023
2010-09-01,0.060545184,0.0419,0.107675906,0.106090808,0.076547699,0.032084575,0.104189044,0.101642212,0.0985,0.0151,-0.016,0.0001,0.0234
2010-10-01,0.027719221,0.0144,0.041385948,0.035843012,0.037685539,0.018104398,0.035019455,0.042603863,0.0394,-0.0007,-0.0123,0.0001,0.0051
2010-11-01,0.018976024,-0.0034,-0.034195933,-0.006282621,0.010107066,-0.03538943,-0.054511278,-0.002199662,-0.0217,0.0205,-0.0074,0.0001,0.043
2010-12-01,0.017171823,0.0193,0.089272823,0.082190448,-0.004918172,0.001697947,0.074353877,0.074190266,0.076,0.0205,0.0179,0.0001,-0.004
2011-01-01,0.000835428,0.009,0.03008205,0.016897358,0.006817213,-0.004903593,0.021373057,0.01199779,0.0213,-0.0165,0.0281,0.0001,-0.016
2011-02-01,0.021482278,0.014,0.041592973,0.034735726,0.0314854,0.02138403,0.018298759,0.038374542,0.0349,0.0015,0.0047,0.0001,0.0122
2011-03-01,0.042028663,0.0037,-0.014443528,0.005808491,0.043899237,0.001608196,-0.002757762,0.007811913,-0.0068,0.0132,-0.0158,0.0001,0.0132
2011-04-01,0.034323949,0.0184,0.052586217,0.034819533,0.04802704,0.046295195,0.063871543,0.038682269,0.0447,-0.0073,-0.0183,0,0.0151
2011-05-01,0.015915486,-0.0135,-0.028665052,-0.020845302,0.032850821,0.018613771,-0.026245179,-0.016862801,-0.021,-0.0051,-0.0133,0,0.0031
2011-06-01,0.003571097,-0.0124,-0.013490704,-0.018942251,0.01619345,0.000781163,-0.016447085,-0.017735932,-0.0152,-0.0042,0.0049,0,0.0146
2011-07-01,-0.028399259,-0.0102,-0.030769223,-0.02605724,-0.012362441,0.0625,-0.016722115,-0.023629068,-0.017,0.0122,-0.0218,0,0.0201
2011-08-01,-0.021132323,-0.053,-0.095238071,-0.080263158,0.048694016,0.009812667,-0.074436827,-0.069101979,-0.0752,-0.0059,-0.018,0.0001,-0.0085
