date,spx_close,spx_ret,spx_tr_close,spx_tr_ret,rf
1991-07-01,387.81,,439.65,,0.0049
1991-08-01,395.43,0.019648797,450.06,0.023677926,0.0046
1991-09-03,387.86,-0.019143717,442.53,-0.016731103,0.0046
1991-10-01,392.46,0.011859949,448.48,0.013445416,0.0042
1991-11-01,375.22,-0.043928044,430.41,-0.040291652,0.0039
1991-12-02,417.09,0.111587868,479.63,0.114356079,0.0038
1992-01-02,408.79,-0.019899782,470.7,-0.018618518,0.0034
1992-02-03,412.7,0.009564813,476.79,0.012938177,0.0028
1992-03-02,403.69,-0.021831839,467.52,-0.019442522,0.0034
1992-04-01,414.95,0.02789269,481.25,0.029367728,0.0032
1992-05-01,415.35,0.000963972,483.6,0.004883117,0.0028
1992-06-01,408.14,-0.017358854,476.41,-0.014867659,0.0032
1992-07-01,424.21,0.039373744,495.87,0.040847169,0.0031
1992-08-03,414.03,-0.023997548,485.72,-0.020469075,0.0026
1992-09-01,417.8,0.00910562,491.43,0.011755744,0.0026
1992-10-01,418.68,0.002106271,493.13,0.003459292,0.0023
1992-11-02,431.35,0.030261775,509.92,0.034047817,0.0023
1992-12-01,435.71,0.010107801,516.18,0.012276436,0.0028
1993-01-04,438.78,0.007045971,520.49,0.0083498,0.0023
1993-02-01,443.38,0.010483614,527.59,0.013640992,0.0022
1993-03-01,451.67,0.01869728,538.72,0.021095927,0.0025
1993-04-01,440.19,-0.025416787,525.7,-0.024168399,0.0024
1993-05-03,450.19,0.022717463,539.76,0.026745292,0.0022
1993-06-01,450.53,0.000755237,541.34,0.002927227,0.0025
1993-07-01,448.13,-0.005327059,539.16,-0.004027044,0.0024
1993-08-02,463.56,0.034431973,559.62,0.037947919,0.0025
1993-09-01,458.93,-0.00998792,555.33,-0.007665916,0.0026
1993-10-01,467.83,0.019392936,566.82,0.0206904,0.0022
1993-11-01,461.79,-0.012910673,561.41,-0.009544476,0.0025
1993-12-01,466.45,0.010091167,568.2,0.012094548,0.0023
1994-01-03,481.61,0.032500804,587.52,0.034002112,0.0025
1994-02-01,467.14,-0.030045057,571.57,-0.027148012,0.0021
1994-03-01,445.77,-0.045746457,546.65,-0.043599209,0.0027
1994-04-04,450.91,0.01153061,553.66,0.012823562,0.0027
1994-05-02,456.5,0.012397152,562.75,0.016418018,0.0032
1994-06-01,444.27,-0.0267908,548.96,-0.024504665,0.0031
1994-07-01,458.26,0.03148986,566.98,0.032825707,0.0028
1994-08-01,475.49,0.037598743,590.23,0.041006737,0.0037
