date,variable,value
2016-03-10,return_btc,0.0074
2016-03-10,return_eth,0.0491
2016-03-10,return_sp500,0.0002
2016-03-10,return_ssc,-0.0202
2016-03-11,return_btc,0.0079
2016-03-11,return_eth,0.017
2016-03-11,return_sp500,0.0163999999999999
2016-03-11,return_ssc,0.002
2016-03-14,return_btc,0.0046
2016-03-14,return_eth,-0.1705
2016-03-14,return_sp500,-0.0013
2016-03-14,return_ssc,0.0175
2016-03-15,return_btc,0.002
2016-03-15,return_eth,0.0448
2016-03-15,return_sp500,-0.0018
2016-03-15,return_ssc,0.0017
2016-03-16,return_btc,0.0019
2016-03-16,return_eth,-0.0138
2016-03-16,return_sp500,0.0056
2016-03-16,return_ssc,0.0021
2016-03-17,return_btc,0.0054
2016-03-17,return_eth,-0.1661
2016-03-17,return_sp500,0.0066
2016-03-17,return_ssc,0.012
2016-03-18,return_btc,-0.0239
2016-03-18,return_eth,0.0
2016-03-18,return_sp500,0.0044
2016-03-18,return_ssc,0.0173
2016-03-21,return_btc,-0.001
2016-03-21,return_eth,0.1739
2016-03-21,return_sp500,0.001
2016-03-21,return_ssc,0.0215
2016-03-22,return_btc,0.0124
2016-03-22,return_eth,-0.0484999999999999
2016-03-22,return_sp500,-0.0009
2016-03-22,return_ssc,-0.0064
2016-03-23,return_btc,0.0019
2016-03-23,return_eth,0.0932
2016-03-23,return_sp500,-0.0064
2016-03-23,return_ssc,0.0034999999999999
2016-03-24,return_btc,-0.0054
2016-03-24,return_eth,-0.099
2016-03-24,return_sp500,-0.0004
2016-03-24,return_ssc,-0.0163
2016-03-28,return_btc,-0.0056
2016-03-28,return_eth,0.1173
2016-03-28,return_sp500,0.0005
2016-03-28,return_ssc,-0.0073
2016-03-29,return_btc,-0.0171
2016-03-29,return_eth,0.0146
2016-03-29,return_sp500,0.0088
2016-03-29,return_ssc,-0.0128
2016-03-30,return_btc,-0.0062
2016-03-30,return_eth,0.0051
2016-03-30,return_sp500,0.0044
2016-03-30,return_ssc,0.0277
2016-03-31,return_btc,0.0078
2016-03-31,return_eth,-0.0371
2016-03-31,return_sp500,-0.002
2016-03-31,return_ssc,0.0011
2016-04-01,return_btc,0.0
2016-04-01,return_eth,0.0184
2016-04-01,return_sp500,0.0063
2016-04-01,return_ssc,0.0019
2016-04-05,return_btc,0.0065
2016-04-05,return_eth,-0.0673
2016-04-05,return_sp500,-0.0101
2016-04-05,return_ssc,0.0144999999999999
2016-04-06,return_btc,-0.0019
2016-04-06,return_eth,0.0346
2016-04-06,return_sp500,0.0105
2016-04-06,return_ssc,-0.0008
2016-04-07,return_btc,-0.0027
2016-04-07,return_eth,-0.0595
2016-04-07,return_sp500,-0.012
2016-04-07,return_ssc,-0.0138
2016-04-08,return_btc,-0.0058
2016-04-08,return_eth,-0.0405
2016-04-08,return_sp500,0.0028
2016-04-08,return_ssc,-0.0078
2016-04-11,return_btc,0.0028
2016-04-11,return_eth,-0.0091
2016-04-11,return_sp500,-0.0027
2016-04-11,return_ssc,0.0163999999999999
2016-04-12,return_btc,0.0079
2016-04-12,return_eth,-0.1325
2016-04-12,return_sp500,0.0097
2016-04-12,return_ssc,-0.0034
2016-04-13,return_btc,-0.003
2016-04-13,return_eth,0.0744
2016-04-13,return_sp500,0.01
2016-04-13,return_ssc,0.0141999999999999
2016-04-14,return_btc,0.0013
2016-04-14,return_eth,0.0457
2016-04-14,return_sp500,0.0002
2016-04-14,return_ssc,0.0051
2016-04-15,return_btc,0.011
2016-04-15,return_eth,-0.0165
2016-04-15,return_sp500,-0.001
2016-04-15,return_ssc,-0.0014
2016-04-18,return_btc,0.0034
2016-04-18,return_eth,-0.0518
2016-04-18,return_sp500,0.0065
2016-04-18,return_ssc,-0.0144
2016-04-19,return_btc,0.0169
2016-04-19,return_eth,-0.0289999999999999
2016-04-19,return_sp500,0.0031
2016-04-19,return_ssc,0.003
2016-04-20,return_btc,0.0143
2016-04-20,return_eth,-0.0115
2016-04-20,return_sp500,0.0008
2016-04-20,return_ssc,-0.0231
2016-04-21,return_btc,0.0185
2016-04-21,return_eth,-0.0581
2016-04-21,return_sp500,-0.0052
2016-04-21,return_ssc,-0.0066
2016-04-22,return_btc,-0.009
2016-04-22,return_eth,-0.0173
2016-04-22,return_sp500,0.0
2016-04-22,return_ssc,0.0022
2016-04-25,return_btc,0.0091
2016-04-25,return_eth,-0.0691
2016-04-25,return_sp500,-0.0018
2016-04-25,return_ssc,-0.0042
2016-04-26,return_btc,0.0092
2016-04-26,return_eth,-0.0053
2016-04-26,return_sp500,0.0019
2016-04-26,return_ssc,0.0060999999999999
2016-04-27,return_btc,-0.0408
2016-04-27,return_eth,0.04
2016-04-27,return_sp500,0.0016
2016-04-27,return_ssc,-0.0037
2016-04-28,return_btc,0.0033
2016-04-28,return_eth,-0.0603
2016-04-28,return_sp500,-0.0092
2016-04-28,return_ssc,-0.0027
2016-04-29,return_btc,0.0144999999999999
2016-04-29,return_eth,0.0259
2016-04-29,return_sp500,-0.0051
2016-04-29,return_ssc,-0.0025
2016-05-03,return_btc,0.0137
2016-05-03,return_eth,-0.066
2016-05-03,return_sp500,-0.0087
2016-05-03,return_ssc,0.0185
2016-05-04,return_btc,-0.0098999999999999
2016-05-04,return_eth,0.0128
2016-05-04,return_sp500,-0.0059
2016-05-04,return_ssc,-0.0005
2016-05-05,return_btc,0.0051
2016-05-05,return_eth,0.0349
2016-05-05,return_sp500,-0.0002
2016-05-05,return_ssc,0.0022
2016-05-06,return_btc,0.0256
2016-05-06,return_eth,-0.0449
2016-05-06,return_sp500,0.0032
2016-05-06,return_ssc,-0.0282
2016-05-09,return_btc,0.0056
2016-05-09,return_eth,-0.0189
2016-05-09,return_sp500,0.0008
2016-05-09,return_ssc,-0.0279
2016-05-10,return_btc,-0.0241
2016-05-10,return_eth,0.0064
2016-05-10,return_sp500,0.0125
2016-05-10,return_ssc,0.0002
2016-05-11,return_btc,0.0069999999999999
2016-05-11,return_eth,0.0544
2016-05-11,return_sp500,-0.0096
2016-05-11,return_ssc,0.0016
2016-05-12,return_btc,0.0043
2016-05-12,return_eth,0.0152
2016-05-12,return_sp500,-0.0002
2016-05-12,return_ssc,-0.0004
2016-05-13,return_btc,0.0022
2016-05-13,return_eth,0.0558
2016-05-13,return_sp500,-0.0085
2016-05-13,return_ssc,-0.0031
2016-05-16,return_btc,-0.0070999999999999
2016-05-16,return_eth,0.1123
2016-05-16,return_sp500,0.0098
2016-05-16,return_ssc,0.0084
2016-05-17,return_btc,-0.0036
2016-05-17,return_eth,0.0892999999999999
2016-05-17,return_sp500,-0.0093999999999999
2016-05-17,return_ssc,-0.0025
2016-05-18,return_btc,0.0021
2016-05-18,return_eth,0.1051
2016-05-18,return_sp500,0.0002
2016-05-18,return_ssc,-0.0127
2016-05-19,return_btc,-0.0255
2016-05-19,return_eth,0.0921
2016-05-19,return_sp500,-0.0037
2016-05-19,return_ssc,-0.0002
2016-05-20,return_btc,-0.0012
2016-05-20,return_eth,-0.0542
2016-05-20,return_sp500,0.006
2016-05-20,return_ssc,0.0066
2016-05-23,return_btc,0.0093
2016-05-23,return_eth,-0.0556
2016-05-23,return_sp500,-0.0021
2016-05-23,return_ssc,0.0064
2016-05-24,return_btc,0.0055
2016-05-24,return_eth,-0.0513999999999999
2016-05-24,return_sp500,0.0137
2016-05-24,return_ssc,-0.0077
2016-05-25,return_btc,0.0081999999999999
2016-05-25,return_eth,-0.0189
2016-05-25,return_sp500,0.0069999999999999
2016-05-25,return_ssc,-0.0023
2016-05-26,return_btc,0.0078
2016-05-26,return_eth,-0.0008
2016-05-26,return_sp500,-0.0002
2016-05-26,return_ssc,0.0026
2016-05-27,return_btc,0.0458
2016-05-27,return_eth,-0.109
2016-05-27,return_sp500,0.0043
2016-05-27,return_ssc,-0.0005
2016-05-31,return_btc,-0.0063
2016-05-31,return_eth,0.1014
2016-05-31,return_sp500,-0.001
2016-05-31,return_ssc,0.0334
2016-06-01,return_btc,0.016
2016-06-01,return_eth,-0.0113999999999999
2016-06-01,return_sp500,0.0011
2016-06-01,return_ssc,-0.0011
2016-06-02,return_btc,-0.0006
2016-06-02,return_eth,-0.0036
2016-06-02,return_sp500,0.0028
2016-06-02,return_ssc,0.004
2016-06-03,return_btc,0.0557
2016-06-03,return_eth,0.0029
2016-06-03,return_sp500,-0.0029
2016-06-03,return_ssc,0.0046
2016-06-06,return_btc,0.0151
2016-06-06,return_eth,0.0056999999999999
2016-06-06,return_sp500,0.0049
2016-06-06,return_ssc,-0.0016
2016-06-07,return_btc,-0.0137
2016-06-07,return_eth,0.0335
2016-06-07,return_sp500,0.0013
2016-06-07,return_ssc,0.0007000000000000001
2016-06-08,return_btc,0.0086
2016-06-08,return_eth,-0.0007000000000000001
2016-06-08,return_sp500,0.0033
2016-06-08,return_ssc,-0.003
2016-06-13,return_btc,0.0503
2016-06-13,return_eth,0.1222
2016-06-13,return_sp500,-0.0081
2016-06-13,return_ssc,-0.0321
2016-06-14,return_btc,-0.0213
2016-06-14,return_eth,0.0564
2016-06-14,return_sp500,-0.0018
2016-06-14,return_ssc,0.0032
2016-06-15,return_btc,0.0081999999999999
2016-06-15,return_eth,-0.0149
2016-06-15,return_sp500,-0.0018
2016-06-15,return_ssc,0.0158
2016-06-16,return_btc,0.102
2016-06-16,return_eth,0.122
2016-06-16,return_sp500,0.0031
2016-06-16,return_ssc,-0.005
2016-06-17,return_btc,-0.0227
2016-06-17,return_eth,-0.2459
2016-06-17,return_sp500,-0.0033
2016-06-17,return_ssc,0.0043
2016-06-20,return_btc,-0.0356
2016-06-20,return_eth,-0.0426
2016-06-20,return_sp500,0.0058
2016-06-20,return_ssc,0.0013
2016-06-21,return_btc,-0.0907
2016-06-21,return_eth,0.0874
2016-06-21,return_sp500,0.0027
2016-06-21,return_ssc,-0.0034999999999999
2016-06-22,return_btc,-0.1151
2016-06-22,return_eth,0.024
2016-06-22,return_sp500,-0.0017
2016-06-22,return_ssc,0.0093999999999999
2016-06-23,return_btc,0.0513
2016-06-23,return_eth,0.0377
2016-06-23,return_sp500,0.0134
2016-06-23,return_ssc,-0.0046999999999999
2016-06-24,return_btc,0.0581
2016-06-24,return_eth,0.0393
2016-06-24,return_sp500,-0.0359
2016-06-24,return_ssc,-0.013
2016-06-27,return_btc,0.0308
2016-06-27,return_eth,0.0153
2016-06-27,return_sp500,-0.0181
2016-06-27,return_ssc,0.0144999999999999
2016-06-28,return_btc,0.0004
2016-06-28,return_eth,-0.1246
2016-06-28,return_sp500,0.0178
2016-06-28,return_ssc,0.0058
2016-06-29,return_btc,-0.0129
2016-06-29,return_eth,0.045
2016-06-29,return_sp500,0.017
2016-06-29,return_ssc,0.0065
2016-06-30,return_btc,0.0526
2016-06-30,return_eth,-0.0210999999999999
2016-06-30,return_sp500,0.0136
2016-06-30,return_ssc,-0.0007000000000000001
2016-07-01,return_btc,0.0068
2016-07-01,return_eth,-0.012
2016-07-01,return_sp500,0.0019
2016-07-01,return_ssc,0.001
2016-07-05,return_btc,-0.017
2016-07-05,return_eth,-0.0779
2016-07-05,return_sp500,-0.0068
2016-07-05,return_ssc,0.006
2016-07-06,return_btc,0.0136
2016-07-06,return_eth,0.0019
2016-07-06,return_sp500,0.0054
2016-07-06,return_ssc,0.0036
2016-07-07,return_btc,-0.0557
2016-07-07,return_eth,-0.0389
2016-07-07,return_sp500,-0.0009
2016-07-07,return_ssc,-0.0001
2016-07-08,return_btc,0.0433
2016-07-08,return_eth,0.1153999999999999
2016-07-08,return_sp500,0.0153
2016-07-08,return_ssc,-0.0095
2016-07-11,return_btc,-0.0006
2016-07-11,return_eth,-0.0401999999999999
2016-07-11,return_sp500,0.0034
2016-07-11,return_ssc,0.0023
2016-07-12,return_btc,0.0369
2016-07-12,return_eth,0.0038
2016-07-12,return_sp500,0.0069999999999999
2016-07-12,return_ssc,0.0182
2016-07-13,return_btc,-0.0139999999999999
2016-07-13,return_eth,-0.0076
2016-07-13,return_sp500,0.0001
2016-07-13,return_ssc,0.0037
2016-07-14,return_btc,-0.0059
2016-07-14,return_eth,0.1079
2016-07-14,return_sp500,0.0053
2016-07-14,return_ssc,-0.0022
2016-07-15,return_btc,0.0106
2016-07-15,return_eth,0.0283999999999999
2016-07-15,return_sp500,-0.0009
2016-07-15,return_ssc,0.0001
2016-07-18,return_btc,-0.0088
2016-07-18,return_eth,-0.0178
2016-07-18,return_sp500,0.0024
2016-07-18,return_ssc,-0.0034999999999999
2016-07-19,return_btc,0.0011
2016-07-19,return_eth,0.0643
2016-07-19,return_sp500,-0.0014
2016-07-19,return_ssc,-0.0023
2016-07-20,return_btc,-0.01
2016-07-20,return_eth,0.0621
2016-07-20,return_sp500,0.0043
2016-07-20,return_ssc,-0.0029
2016-07-21,return_btc,0.0003
2016-07-21,return_eth,0.0056
2016-07-21,return_sp500,-0.0036
2016-07-21,return_ssc,0.0037
2016-07-22,return_btc,-0.0203
2016-07-22,return_eth,0.1689
2016-07-22,return_sp500,0.0046
2016-07-22,return_ssc,-0.0086
2016-07-25,return_btc,-0.008
2016-07-25,return_eth,0.0909
2016-07-25,return_sp500,-0.003
2016-07-25,return_ssc,0.001
2016-07-26,return_btc,0.0006
2016-07-26,return_eth,-0.1297
2016-07-26,return_sp500,0.0003
2016-07-26,return_ssc,0.0113999999999999
2016-07-27,return_btc,0.0002
2016-07-27,return_eth,0.0849
2016-07-27,return_sp500,-0.0012
2016-07-27,return_ssc,-0.0191
2016-07-28,return_btc,-0.0006
2016-07-28,return_eth,-0.0123
2016-07-28,return_sp500,0.0016
2016-07-28,return_ssc,0.0008
2016-07-29,return_btc,0.002
2016-07-29,return_eth,0.0023
2016-07-29,return_sp500,0.0016
2016-07-29,return_ssc,-0.005
2016-08-01,return_btc,-0.0239
2016-08-01,return_eth,-0.0658
2016-08-01,return_sp500,-0.0013
2016-08-01,return_ssc,-0.0087
2016-08-02,return_btc,-0.1542
2016-08-02,return_eth,-0.083
2016-08-02,return_sp500,-0.0064
2016-08-02,return_ssc,0.0060999999999999
2016-08-03,return_btc,0.1032
2016-08-03,return_eth,0.0
2016-08-03,return_sp500,0.0031
2016-08-03,return_ssc,0.0024
2016-08-04,return_btc,0.0173
2016-08-04,return_eth,0.0
2016-08-04,return_sp500,0.0002
2016-08-04,return_ssc,0.0013
2016-08-05,return_btc,-0.0027
2016-08-05,return_eth,0.0
2016-08-05,return_sp500,0.0086
2016-08-05,return_ssc,-0.0019
2016-08-08,return_btc,-0.0027
2016-08-08,return_eth,0.0
2016-08-08,return_sp500,-0.0009
2016-08-08,return_ssc,0.0093
2016-08-09,return_btc,-0.0068
2016-08-09,return_eth,0.0
2016-08-09,return_sp500,0.0004
2016-08-09,return_ssc,0.0070999999999999
2016-08-10,return_btc,0.0097
2016-08-10,return_eth,0.188
2016-08-10,return_sp500,-0.0029
2016-08-10,return_ssc,-0.0023
2016-08-11,return_btc,-0.0052
2016-08-11,return_eth,-0.0356
2016-08-11,return_sp500,0.0046999999999999
2016-08-11,return_ssc,-0.0053
2016-08-12,return_btc,-0.0012
2016-08-12,return_eth,0.0026
2016-08-12,return_sp500,-0.0008
2016-08-12,return_ssc,0.016
2016-08-15,return_btc,-0.0037
2016-08-15,return_eth,-0.0063
2016-08-15,return_sp500,0.0028
2016-08-15,return_ssc,0.0243999999999999
2016-08-16,return_btc,0.0233999999999999
2016-08-16,return_eth,-0.0018
2016-08-16,return_sp500,-0.0055
2016-08-16,return_ssc,-0.0049
2016-08-17,return_btc,-0.0135
2016-08-17,return_eth,-0.0316
2016-08-17,return_sp500,0.0019
2016-08-17,return_ssc,-0.0002
2016-08-18,return_btc,0.0018
2016-08-18,return_eth,-0.0028
2016-08-18,return_sp500,0.0022
2016-08-18,return_ssc,-0.0017
2016-08-19,return_btc,0.002
2016-08-19,return_eth,-0.0009
2016-08-19,return_sp500,-0.0014
2016-08-19,return_ssc,0.0013
2016-08-22,return_btc,0.0116999999999999
2016-08-22,return_eth,0.0009
2016-08-22,return_sp500,-0.0006
2016-08-22,return_ssc,-0.0075
2016-08-23,return_btc,-0.0067
2016-08-23,return_eth,-0.0135
2016-08-23,return_sp500,0.002
2016-08-23,return_ssc,0.0016
2016-08-24,return_btc,-0.0067
2016-08-24,return_eth,-0.0009
2016-08-24,return_sp500,-0.0052
2016-08-24,return_ssc,-0.0012
2016-08-25,return_btc,-0.0029
2016-08-25,return_eth,0.0373
2016-08-25,return_sp500,-0.0014
2016-08-25,return_ssc,-0.0056999999999999
2016-08-26,return_btc,0.0024
2016-08-26,return_eth,-0.0149
2016-08-26,return_sp500,-0.0016
2016-08-26,return_ssc,0.0006
2016-08-29,return_btc,-0.0013
2016-08-29,return_eth,-0.0009
2016-08-29,return_sp500,0.0052
2016-08-29,return_ssc,-0.0001
2016-08-30,return_btc,0.0054
2016-08-30,return_eth,0.0329
2016-08-30,return_sp500,-0.002
2016-08-30,return_ssc,0.0015
